#,Name,RA,DE
588,J171054.24+292640.5,257.726,29.4446
589,J172239.84+305252.6,260.666,30.8813
590,J171213.68+301004.0,258.057,30.1678
591,J172128.08+294154.2,260.367,29.6984
592,J171234.56+300526.5,258.144,30.0907
593,J171212.96+300956.1,258.054,30.1656
594,J222823.76+301720.7,337.099,30.2891
595,J222825.92+301722.9,337.108,30.2897
596,J222841.04+291132.2,337.171,29.1923
597,J223132.40+305735.2,337.885,30.9598
598,J223130.72+305705.0,337.878,30.9514
599,J222719.44+312629.7,336.831,31.4416
600,J222827.84+301729.0,337.116,30.2914
601,J222824.48+301744.1,337.102,30.2956
602,J222823.52+301731.9,337.098,30.2922
603,J223645.60+312247.6,339.19,31.3799
604,J223643.68+312912.8,339.182,31.4869
605,J223230.48+303844.1,338.127,30.6456
606,J223224.48+305008.5,338.102,30.8357
607,J222627.60+292132.7,336.615,29.3591
608,J222857.36+310052.5,337.239,31.0146
609,J223132.88+305721.6,337.887,30.956
610,J223131.68+305724.8,337.882,30.9569
611,J223119.44+293719.2,337.831,29.622
612,J223133.12+305743.9,337.888,30.9622
613,J223658.32+294428.3,339.243,29.7412
614,J222451.60+311408.1,336.215,31.2356
615,J223333.36+291426.5,338.389,29.2407
616,J223334.32+293156.2,338.393,29.5323
617,J223707.20+294627.4,339.28,29.7743
618,J223816.08+291533.8,339.567,29.2594
619,J222725.92+301252.2,336.858,30.2145
620,J222645.60+294550.0,336.69,29.7639
621,J223413.68+292956.4,338.557,29.499
622,J223243.20+295758.6,338.18,29.9663
623,J223156.88+293600.3,337.987,29.6001
624,J222735.76+300442.2,336.899,30.0784
625,J222907.20+300248.4,337.28,30.0468
626,J223148.72+301950.5,337.953,30.3307
627,J222926.64+311747.7,337.361,31.2966
628,J222820.64+302123.0,337.086,30.3564
629,J223239.60+312227.4,338.165,31.3743
630,J223819.44+303514.2,339.581,30.5873
631,J222820.88+311349.4,337.087,31.2304
632,J222552.08+300619.8,336.467,30.1055
633,J222627.60+295712.6,336.615,29.9535
634,J222819.68+295111.1,337.082,29.8531
635,J224309.12+301342.2,340.788,30.2284
636,J224254.24+301754.6,340.726,30.2985
